chr	start	end	eigen	domain
chr1	764620	864619	-1.62475825405065	open
chr1	864620	964619	-1.64960578903381	open
chr1	964620	1064619	-1.60061548442748	open
chr1	1064620	1164619	-1.57911133519482	open
chr1	1164620	1264619	-1.51212586288099	open
chr1	1264620	1364619	-1.53043511067738	open
chr1	1364620	1464619	-1.5585087375421	open
chr1	1464620	1564619	-1.59063275444968	open
chr1	1564620	1668560	-1.68528276820891	open
chr1	1668561	1768560	-1.74100717679215	open
chr1	1768561	1868560	-1.68915287594969	open
chr1	1868561	1968560	-1.48094318602211	open
chr1	1968561	2068560	-1.23546907487117	open
chr1	2068561	2168560	-1.02826507945783	open
chr1	2168561	2268560	-0.941361473722446	open
chr1	2268561	2368560	-0.93989471344309	open
chr1	2368561	2468560	-1.01392953192467	open
chr1	2468561	2568560	-0.937948201873429	open
chr1	2568561	2668560	-0.681557125576971	open
chr1	2783455	2883434	-0.138153776696628	open
chr1	2883435	2983435	0.100695614201432	closed
chr1	2983436	3083435	0.132183390698402	closed
chr1	3083436	3183435	0.131963872292304	closed
chr1	3183436	3283435	0.0919915868001882	closed
chr1	3283436	3383435	0.00224432044820126	closed
chr1	3383436	3483435	-0.146792250398923	open
chr1	3483436	3583435	-0.47691591857807	open
chr1	3583436	3683435	-0.748030800009937	open
chr1	3683436	3783435	-0.900634338012191	open
chr1	3783436	3883435	-0.895758432488856	open
chr1	3939940	4039939	-0.16939951667189	open
chr1	4039940	4139939	0.159005086356641	closed
chr1	4139940	4239939	0.397671811945397	closed
chr1	4239940	4339939	0.501393518542941	closed
chr1	4339940	4439939	0.52966076370082	closed
chr1	4439940	4539939	0.544042250485519	closed
chr1	4539940	4639939	0.529304392711501	closed
chr1	4639940	4739939	0.4869785090231	closed
chr1	4739940	4839939	0.500664575119751	closed
chr1	4839940	4939939	0.562737255839261	closed
chr1	4939940	5039939	0.643795738219236	closed
chr1	5039940	5139939	0.731053263838321	closed
chr1	5139940	5239939	0.753628476854469	closed
chr1	5239940	5339939	0.716774340242569	closed
chr1	5339940	5439939	0.641162201053844	closed
chr1	5439940	5539939	0.567798062067016	closed
chr1	5539940	5639939	0.485027655430702	closed
chr1	5639940	5739939	0.420424042022952	closed
chr1	5739940	5839939	0.275850804157618	closed
chr1	5839940	5939939	-0.0710729377470016	open
chr1	5939940	6039939	-0.349461679251339	open
chr1	6039940	6139939	-0.743675597390938	open
chr1	6139940	6239939	-1.03209659550524	open
chr1	6239940	6339939	-1.15360758024451	open
chr1	6339940	6439939	-1.29450428198171	open
chr1	6439940	6539939	-1.44123364794475	open
chr1	6539940	6639939	-1.43881057008379	open
chr1	6639940	6739939	-1.42639129664851	open
chr1	6739940	6839939	-1.35094430394004	open
chr1	6839940	6939939	-1.01612221129809	open
chr1	6939940	7039939	-0.797006759459692	open
chr1	7039940	7139939	-0.513401135797095	open
chr1	7139940	7239939	-0.324310424265207	open
chr1	7239940	7339939	-0.299218121633454	open
chr1	7339940	7439939	-0.308331333203253	open
chr1	7439940	7539939	-0.339973565108477	open
chr1	7539940	7639939	-0.423193960129378	open
chr1	7639940	7739939	-0.573746062124751	open
chr1	7739940	7839939	-0.688502452314306	open
chr1	7839940	7939939	-0.897922500458236	open
chr1	7939940	8039939	-1.01964415108732	open
chr1	8039940	8139939	-1.04779910533057	open
chr1	8139940	8239939	-1.07384714824509	open
chr1	8239940	8339939	-1.07911678279097	open
chr1	8339940	8439939	-1.16308382276645	open
chr1	8439940	8539940	-1.22680999505727	open
chr1	8539941	8639940	-1.33313332493492	open
chr1	8639941	8739940	-1.40185902644878	open
chr1	8739941	8839940	-1.39999148715706	open
chr1	8839941	8939940	-1.40588121869144	open
chr1	8939941	9039940	-1.43747661894446	open
chr1	9039941	9139940	-1.4424960940716	open
chr1	9139941	9239940	-1.39063046478026	open
chr1	9239941	9339940	-1.39993796830571	open
chr1	9339941	9439940	-1.30082596408992	open
chr1	9439941	9539940	-1.26810558900109	open
chr1	9539941	9639941	-1.35799357318511	open
chr1	9639942	9739941	-1.31914509212965	open
chr1	9739942	9839941	-1.32490451805864	open
chr1	9839942	9939941	-1.30600767527494	open
chr1	9939942	10039941	-1.23600685574516	open
chr1	10039942	10139941	-1.23436473764704	open
chr1	10139942	10239941	-1.2456545063005	open
chr1	10239942	10339941	-1.20562777748645	open
chr1	10339942	10439942	-1.18088510274851	open
chr1	10439943	10539942	-1.16058495863013	open
chr1	10539943	10639942	-1.13709126233204	open
chr1	10639943	10739942	-1.09834523672839	open
chr1	10739943	10839942	-1.04202931265579	open
chr1	10839943	10939942	-1.08213290871494	open
chr1	10939943	11039942	-1.13496885060095	open
chr1	11039943	11139942	-1.19606541365681	open
chr1	11139943	11239942	-1.25993600772112	open
chr1	11239943	11339942	-1.16153956878516	open
chr1	11339943	11439942	-1.05185300796504	open
chr1	11439943	11539942	-0.94991412182997	open
chr1	11539943	11639942	-0.964701496388895	open
chr1	11639943	11739942	-1.09795553691292	open
chr1	11739943	11839942	-1.263757332734	open
chr1	11839943	11939942	-1.4710317059683	open
chr1	11939943	12039942	-1.55910846641588	open
chr1	12039943	12139942	-1.56745016195916	open
chr1	12139943	12239942	-1.41605951845632	open
chr1	12239943	12339942	-1.24007333255853	open
chr1	12339943	12439943	-1.03109762413967	open
chr1	12439944	12539973	-0.803424208497544	open
chr1	12539974	12639978	-0.637690634672452	open
chr1	12639979	12740042	-0.379469348033129	open
chr1	12740043	12840146	-0.160729133941889	open
chr1	12840147	12940169	0.0697980451228342	closed
chr1	13473532	13573504	0.127087245934007	closed
chr1	13573505	13673504	-0.28816463631664	open
chr1	13673505	13773504	-0.436277692432786	open
chr1	13773505	13873504	-0.474064646100363	open
chr1	13873505	13973504	-0.401949513844967	open
chr1	13973505	14073504	-0.00115233756821249	open
chr1	14073505	14173504	0.170304752633915	closed
chr1	14173505	14273504	0.261584613446329	closed
chr1	14273505	14373503	0.274231908168529	closed
chr1	14373504	14473503	0.150137194042486	closed
chr1	14473504	14573503	0.0526309952702388	closed
chr1	14573504	14673503	-0.0487583555877291	open
chr1	14673504	14773503	-0.108993170998183	open
chr1	14773504	14873503	-0.122013508481552	open
chr1	14873504	14973503	-0.153601751476636	open
chr1	14973504	15073503	-0.285070435726004	open
chr1	15073504	15173503	-0.532091673492598	open
chr1	15173504	15273503	-0.666789769691872	open
chr1	15273504	15373503	-0.903784069706202	open
chr1	15373504	15473504	-1.103233347807	open
chr1	15473505	15573504	-1.26397477847976	open
chr1	15573505	15673504	-1.42620546863515	open
chr1	15673505	15773504	-1.51973654352566	open
chr1	15773505	15873504	-1.56445103179372	open
chr1	15873505	15973504	-1.46891712870193	open
chr1	15973505	16073504	-1.43082707308844	open
chr1	16073505	16173504	-1.43404467316169	open
chr1	16173505	16273504	-1.47410459448816	open
chr1	16273505	16373504	-1.60860463564022	open
